Date,Part,Sales
01/01/2024,Part_1,1
01/02/2024,Part_1,2
01/03/2024,Part_1,3
01/04/2024,Part_1,4
01/05/2024,Part_1,5
01/06/2024,Part_1,6
01/07/2024,Part_1,7
01/08/2024,Part_1,8
01/09/2024,Part_1,9
01/10/2024,Part_1,10
01/11/2024,Part_1,11
01/12/2024,Part_1,12
01/13/2024,Part_1,13
01/14/2024,Part_1,14
01/15/2024,Part_1,15
01/16/2024,Part_1,16
01/17/2024,Part_1,17
01/18/2024,Part_1,18
01/19/2024,Part_1,19
01/20/2024,Part_1,20
01/21/2024,Part_1,21
01/22/2024,Part_1,22
01/23/2024,Part_1,23
01/24/2024,Part_1,24
01/25/2024,Part_1,25
01/26/2024,Part_1,26
01/27/2024,Part_1,27
01/28/2024,Part_1,28
01/29/2024,Part_1,29
01/30/2024,Part_1,30
01/31/2024,Part_1,61
02/01/2024,Part_1,62
02/02/2024,Part_1,63
02/03/2024,Part_1,64
02/04/2024,Part_1,65
02/05/2024,Part_1,66
02/06/2024,Part_1,67
02/07/2024,Part_1,68
02/08/2024,Part_1,69
02/09/2024,Part_1,70
02/10/2024,Part_1,71
02/11/2024,Part_1,72
02/12/2024,Part_1,73
02/13/2024,Part_1,74
02/14/2024,Part_1,75
02/15/2024,Part_1,76
02/16/2024,Part_1,77
02/17/2024,Part_1,78
02/18/2024,Part_1,79
02/19/2024,Part_1,80
02/20/2024,Part_1,81
02/21/2024,Part_1,82
02/22/2024,Part_1,83
02/23/2024,Part_1,84
02/24/2024,Part_1,85
02/25/2024,Part_1,86
02/26/2024,Part_1,87
02/27/2024,Part_1,88
02/28/2024,Part_1,89
02/29/2024,Part_1,90
03/01/2024,Part_1,121
03/02/2024,Part_1,122
03/03/2024,Part_1,123
03/04/2024,Part_1,124
03/05/2024,Part_1,125
03/06/2024,Part_1,126
03/07/2024,Part_1,127
03/08/2024,Part_1,128
03/09/2024,Part_1,129
03/10/2024,Part_1,130
03/11/2024,Part_1,131
03/12/2024,Part_1,132
03/13/2024,Part_1,133
03/14/2024,Part_1,134
03/15/2024,Part_1,135
03/16/2024,Part_1,136
03/17/2024,Part_1,137
03/18/2024,Part_1,138
03/19/2024,Part_1,139
03/20/2024,Part_1,140
03/21/2024,Part_1,141
03/22/2024,Part_1,142
03/23/2024,Part_1,143
03/24/2024,Part_1,144
03/25/2024,Part_1,145
03/26/2024,Part_1,146
03/27/2024,Part_1,147
03/28/2024,Part_1,148
03/29/2024,Part_1,149
03/30/2024,Part_1,150
03/31/2024,Part_1,181
04/01/2024,Part_1,182
04/02/2024,Part_1,183
04/03/2024,Part_1,184
